Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C5, C6, C9",402,10,100nF,C1525
"C16, C17, C4, C7",402,4,1uF,C52923
"C2, C3",402,2,22pF,C1555
C8,402,1,10uF,C15525 
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D6, D7, D8, D9",D_SOD-123,52,1N4148W,C81598
J1,JST-SR-4,1,SM04B-SRSS-TB(LF)(SN),C3029343 
"R1, R7",402,2,1k,C11702
"R5, R6",402,2,27R,C25092
U1,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U3,RP2040-QFN-56,1,RP2040,C2040
U4,SOT-23,1,XC6206PxxxMR-Regulator_Linear,C5446
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
SW_BOOT1,TL3342,1,SKQG,C318884
SW_RST1,TL3342,1,SKQG,C318884
