Designator,Mid X,Mid Y,Rotation,Layer
C1,186.065851,-85.14305,0.0,bottom
C10,177.27,-94.11985,0.0,bottom
C11,170.77,-94.28485,0.0,bottom
C12,165.445851,-88.64305,180.0,bottom
C13,170.265851,-82.94305,90.0,bottom
C14,174.565851,-82.82305,90.0,bottom
C15,175.565851,-82.80305,90.0,bottom
C16,200.2308,-74.01725,270.0,bottom
C17,200.2816,-72.01325,270.0,bottom
C2,163.355851,-90.01305,90.0,bottom
C3,163.355851,-88.14305,270.0,bottom
C4,177.365851,-86.89305,0.0,bottom
C5,165.445851,-87.64305,180.0,bottom
C6,178.69,-90.88485,0.0,bottom
C7,177.365851,-85.94305,0.0,bottom
C8,197.0,-78.11985,270.0,bottom
C9,178.69,-89.88485,0.0,bottom
D1,32.615851,-67.84305,90.0,bottom
D10,213.590851,-67.84305,90.0,bottom
D11,232.640851,-67.84305,90.0,bottom
D12,251.690851,-67.84305,90.0,bottom
D13,270.740851,-67.84305,90.0,bottom
D14,34.565851,-74.39305,270.0,bottom
D15,53.615851,-74.39305,270.0,bottom
D16,72.665851,-74.39305,270.0,bottom
D17,91.715851,-74.39305,270.0,bottom
D18,110.765851,-74.39305,270.0,bottom
D19,134.578351,-74.39305,270.0,bottom
D2,51.665851,-67.84305,90.0,bottom
D20,153.628351,-74.39305,270.0,bottom
D21,172.678351,-74.39305,270.0,bottom
D22,197.386,-68.05085,270.0,bottom
D23,215.540851,-74.39305,270.0,bottom
D24,234.590851,-74.39305,270.0,bottom
D25,253.640851,-74.39305,270.0,bottom
D26,272.690851,-74.39305,270.0,bottom
D27,32.615851,-106.49305,90.0,bottom
D28,51.665851,-106.49305,90.0,bottom
D29,70.715851,-106.49305,90.0,bottom
D3,70.715851,-67.84305,90.0,bottom
D30,89.765851,-106.49305,90.0,bottom
D31,108.815851,-106.49305,90.0,bottom
D32,132.628351,-106.49305,90.0,bottom
D33,151.678351,-106.49305,90.0,bottom
D34,170.728351,-106.49305,90.0,bottom
D35,185.015851,-106.49305,90.0,bottom
D36,213.590851,-106.49305,90.0,bottom
D37,232.640851,-106.49305,90.0,bottom
D38,251.690851,-106.49305,90.0,bottom
D39,270.740851,-106.49305,90.0,bottom
D4,89.765851,-67.84305,90.0,bottom
D40,35.790851,-112.92805,270.0,bottom
D41,54.840851,-112.92805,270.0,bottom
D42,73.890851,-112.92805,270.0,bottom
D43,92.940851,-112.92805,270.0,bottom
D44,111.990851,-112.92805,270.0,bottom
D45,136.045,-110.7536,270.0,bottom
D46,155.095,-111.48485,270.0,bottom
D47,174.145,-110.7536,270.0,bottom
D48,183.67,-111.48485,270.0,bottom
